id	aroE	ddl	gdh	gki	recP	spi	xpt	Sp_cgc_1000
1608	15	50	16	19	15	6	20	
1609	15	50	16	19	15	6	20	
1610	20	14	28	1	1	15	14	
1611	20	14	28	1	1	15	14	
1612	4	1	16	19	15	6	20	
1613	4	1	16	19	15	6	20	
1614	4	1	16	19	15	6	20	
1615	4	1	16	19	15	6	20	
1616	4	1	16	19	15	6	20	
1617	4	1	16	19	15	6	20	
1618	4	26	16	19	15	39	20	
1619	4	26	16	19	15	39	20	
1620	4	26	16	19	15	39	20	
1621	7	8	13	8	6	1	6	
1622	7	1	11	10	1	6	58	
1623	10	31	13	53	1	72	38	
1624	1	14	6	1	2	75	1	
1625	4	1	10	2	4	4	1	
1626	20	14	28	1	1	76	14	
1627	8	26	74	19	15	6	40	
1628	8	107	10	2	16	1	26	
1629	8	27	74	4	15	6	40	
1630	5	27	7	19	10	10	1	
1631	1	119	11	10	1	6	1	
1632	1	119	11	10	1	6	8	
1633	1	28	2	1	16	17	1	
1634	5	14	6	1	2	5	1	
1635	7	14	62	1	2	36	118	
1636	8	14	37	36	29	2	12	
1637	7	14	62	1	2	36	118	
1638	1	8	5	4	5	8	27	
1639	16	18	13	4	4	6	10	
1640	7	21	2	1	1	10	48	
1641	1	18	60	9	1	77	105	
1642	2	121	13	2	1	6	121	
1643	4	1	4	2	4	80	1	
1644	7	14	8	1	1	79	14	
1645	7	14	75	9	2	25	6	
1646	10	14	8	82	16	81	14	
1647	18	97	12	2	44	14	77	
1648	53	19	76	19	15	6	20	
1649	2	123	5	36	12	2	21	
1650	2	20	42	2	1	6	19	
1651	5	19	5	6	5	9	17	
1652	6	9	57	34	58	6	1	
1653	6	9	57	34	28	7	1	
1654	6	9	57	83	28	7	19	
1655	6	9	57	83	28	7	1	
1656	6	6	60	4	5	27	123	
1657	7	14	5	4	4	15	20	
1658	7	5	5	4	4	15	20	
1659	7	14	13	8	6	9	6	
1660	7	122	25	29	2	27	122	
1661	7	122	25	29	2	27	112	
1662	7	14	78	4	1	6	112	
1663	8	59	5	15	10	2	1	
1664	13	18	5	1	1	15	1	
1665	13	6	8	69	1	6	1	
1666	15	19	16	19	15	6	20	
1667	15	14	16	19	15	6	20	
1668	23	74	12	4	1	43	12	
1669	53	19	76	8	15	6	20	
1670	53	19	76	19	15	6	20	
1671	2	1	3	2	4	6	1	
1672	4	1	4	2	1	4	1	
1673	20	1	11	10	1	6	8	
1674	16	4	9	4	5	6	10	
1675	5	40	5	7	7	8	20	
1676	5	40	5	7	7	8	20	
1677	7	46	5	4	12	19	20	
1678	1	19	13	11	4	15	12	
1679	4	1	4	32	4	4	1	
1680	5	54	40	1	2	6	3	
1681	8	71	10	15	27	2	28	
1682	8	4	10	15	27	2	28	
1683	8	53	10	15	27	2	28	
1684	18	97	12	4	44	14	77	
1685	10	94	31	4	1	6	4	3
1686	2	29	5	14	1	6	1	
1687	1	1	8	9	2	6	4	
1688	1	6	8	6	2	6	67	
1689	1	6	8	9	1	10	4	
1690	1	6	8	9	1	10	3	
1691	2	14	5	1	8	14	28	
1692	2	5	8	2	4	6	1	
1693	7	14	5	1	2	14	11	
1694	7	14	5	1	8	14	81	
1695	7	14	5	8	5	10	48	
1696	1	6	8	6	2	6	4	
1697	1	6	8	4	1	65	20	
1698	1	6	8	6	2	6	109	
1699	1	6	8	6	2	6	11	
1700	1	14	8	6	2	14	17	
1701	1	8	7	4	12	5	3	
1702	2	14	13	14	1	6	107	
1703	4	1	4	2	4	10	1	
1704	4	14	8	8	1	6	6	
1705	5	27	6	1	2	6	1	
1706	7	14	5	1	5	6	31	
1707	7	14	5	1	1	63	31	
1708	5	6	7	4	1	10	1	
1709	7	14	5	8	6	10	6	
1710	7	14	5	8	6	64	6	
1711	7	14	5	8	5	63	6	
1712	7	1	11	10	1	15	8	
1713	7	14	13	8	5	10	6	
1714	7	14	21	59	5	10	6	
1715	8	14	5	8	5	10	6	
1716	8	6	8	4	1	1	4	
1717	10	14	5	2	1	6	19	
1718	39	6	8	4	1	1	4	
1719	40	14	8	8	1	6	6	
1720	2	14	13	14	1	6	17	
1721	7	14	5	15	1	6	31	
1722	10	17	41	47	42	6	14	
1723	2	121	13	2	1	6	121	
1724	8	6	13	9	60	78	119	
1725	15	63	16	19	15	3	104	
1726	56	8	5	4	5	5	1	
1727	55	72	8	8	1	17	116	
1728	57	26	16	19	15	6	20	
1729	7	5	8	15	59	6	14	
1730	7	124	13	8	5	6	6	
1731	12	14	5	89	8	6	112	
1732	12	15	62	1	2	84	1	
1733	54	111	5	4	1	6	1	
1734	54	111	5	4	1	6	1	
1735	1	9	5	36	3	6	1	
1736	1	5	8	73	47	36	1	
1737	1	5	8	73	47	36	1	
1738	1	18	11	74	10	6	14	
1739	1	18	11	74	10	6	14	
1740	1	18	11	74	10	6	14	
1741	1	18	11	74	10	6	14	
1742	2	18	5	4	10	13	88	
1743	2	14	5	36	55	17	21	
1744	2	14	5	36	55	17	21	
1745	2	107	5	36	3	6	1	
1746	2	111	11	4	5	6	111	
1747	2	111	11	4	5	6	111	
1748	5	118	5	4	1	6	1	
1749	5	118	5	4	1	6	1	
1750	6	8	9	4	5	70	1	
1751	7	8	5	4	3	9	6	
1752	7	1	8	4	53	67	20	
1753	7	1	8	4	53	67	20	
1754	7	1	8	4	53	67	20	
1755	7	14	11	4	1	6	112	
1756	7	14	11	4	1	6	112	
1757	7	8	13	8	5	9	6	
1758	7	5	8	15	59	6	14	
1759	7	124	13	8	5	6	6	
1760	10	5	43	9	10	15	1	
1761	12	14	5	89	8	6	112	
1762	12	14	11	2	6	6	22	
1763	12	14	11	2	6	6	22	
1764	12	15	62	1	2	84	1	
1765	13	110	5	4	10	17	28	
1766	13	110	5	4	10	17	28	
1767	13	15	65	10	1	15	1	
1768	13	15	65	10	1	15	1	
1769	13	15	65	10	1	15	1	
1770	16	5	5	36	3	9	1	
1771	16	5	9	75	3	9	115	
1772	16	14	13	4	18	6	108	
1773	54	111	5	4	1	6	1	
1774	54	111	5	4	1	6	1	
1775	50	5	8	73	47	36	1	
1776	51	108	66	1	1	6	1	
1777	8	6	5	9	9	6	4	
1778	7	14	5	25	5	15	12	
1779	5	14	5	62	5	6	11	
1780	1	8	5	4	4	6	58	
1781	7	1	60	10	38	6	8	
1782	15	106	16	19	15	68	20	
1783	7	21	2	25	12	10	1	
1784	51	14	11	10	1	6	8	
1785	2	17	5	47	23	17	14	
1786	10	14	20	14	4	6	1	
1787	7	14	13	10	1	6	8	
1788	7	22	15	1	10	6	1	
1789	1	1	2	15	5	17	16	
1790	1	8	2	29	1	46	14	
1791	1	8	5	1	12	5	3	
1792	1	18	5	4	5	15	1	
1793	1	8	5	4	32	25	1	
1794	1	11	5	6	1	17	16	
1795	1	18	5	29	10	6	79	
1796	1	6	8	9	1	10	3	
1797	1	72	8	9	2	6	4	
1798	2	18	5	29	18	42	3	
1799	2	14	8	9	1	6	19	
1800	2	6	10	1	43	6	31	
1801	2	6	10	1	43	6	31	
1802	2	14	25	2	16	6	28	
1803	5	19	13	11	4	15	1	
1804	5	19	13	11	4	15	49	
1805	7	45	2	40	1	17	1	
1806	7	14	8	1	10	15	14	
1807	7	45	8	40	1	10	1	
1808	7	8	10	1	8	10	28	
1809	8	20	8	4	1	15	1	
1810	8	17	9	2	5	6	1	
1811	10	17	5	28	11	17	111	
1812	10	8	13	2	8	17	16	
1813	10	8	13	2	8	17	16	
1814	10	31	16	32	1	15	28	
1815	10	2	41	47	1	6	14	
1816	13	14	8	1	8	6	1	
1817	13	26	16	19	5	6	20	
1818	15	9	8	8	18	15	1	
1819	16	94	31	4	34	6	4	
1820	20	14	28	1	1	6	14	
1821	29	31	33	19	1	13	22	
1822	7	22	15	2	10	6	1	
1823	7	22	15	2	10	6	1	
1824	7	22	15	2	10	6	1	
1825	7	22	15	2	10	6	1	
1826	5	27	40	4	19	10	22	
1827	7	14	11	10	1	6	3	
1828	7	14	5	8	5	15	6	
1829	2	8	2	54	5	15	3	
1830	12	68	19	2	17	6	22	
1831	6	14	5	36	15	17	21	
1832	1	6	8	9	9	6	26	
1833	13	18	5	1	5	9	1	
1834	7	129	11	10	1	6	8	
1835	7	1	11	10	1	86	8	
1836	1	95	8	9	1	6	4	
1837	7	14	14	4	12	1	14	
1838	15	18	5	2	1	9	1	
1839	8	14	19	2	17	6	22	
1840	7	14	8	8	6	13	6	
1841	2	14	25	9	1	6	19	
1842	2	18	5	29	18	17	3	
1843	4	1	4	2	4	53	1	
1844	20	14	28	1	8	15	14	
1845	20	14	28	1	1	15	39	
1846	8	59	37	9	29	2	47	
1847	7	14	5	8	5	87	6	
1848	7	14	80	1	2	5	1	
1849	4	1	16	19	18	6	20	
1850	2	1	13	2	1	4	1	
1851	1	130	5	9	5	6	3	
1852	7	139	6	40	2	6	1	
1853	7	17	14	4	12	1	20	
1854	8	14	9	2	1	6	1	
1855	7	14	5	93	8	14	11	
1856	8	31	29	4	15	17	12	
1857	59	98	11	10	1	5	76	
1858	2	8	5	4	12	17	21	
1859	7	14	83	1	8	14	11	
1860	2	14	5	1	11	16	135	
1861	1	18	5	94	1	46	14	
1862	2	31	5	95	1	6	19	
1863	2	14	8	9	1	6	19	
1864	2	14	8	9	1	6	19	
1865	7	14	43	8	18	6	19	
1866	2	10	25	2	1	6	132	
1867	12	6	5	4	5	6	7	
1868	7	28	9	4	13	15	92	
1869	2	14	13	2	1	6	19	
1870	2	14	13	2	1	6	19	
1871	1	8	5	4	1	9	134	
1872	1	8	5	4	1	10	98	
1873	1	18	10	9	43	10	1	
1874	1	14	26	28	11	13	1	
1875	2	14	1	1	29	2	31	
1876	2	6	5	29	12	14	3	
1877	2	22	12	19	1	89	1	
1878	2	8	13	9	1	6	23	
1879	4	1	4	2	4	4	1	
1880	5	14	5	1	5	6	99	
1881	5	17	9	2	1	6	1	
1882	5	17	9	2	1	6	1	
1883	5	135	25	4	10	15	20	
1884	7	18	5	1	2	1	1	
1885	7	138	5	1	2	6	1	
1886	7	31	5	92	16	6	1	
1887	7	135	6	1	2	6	1	
1888	7	14	6	1	2	6	133	
1889	7	137	6	1	2	6	15	
1890	7	14	6	14	1	6	1	
1891	7	8	13	4	6	25	6	
1892	7	6	16	4	1	6	79	
1893	7	31	25	4	4	13	20	
1894	7	8	25	8	6	1	6	
1895	8	20	8	4	1	15	1	
1896	10	28	25	78	4	15	20	
1897	13	9	2	4	62	9	1	
1898	16	31	13	9	1	41	33	
1899	46	22	8	2	2	6	1	
1900	58	136	28	1	1	6	14	
1901	7	6	43	41	18	13	49	
1902	2	14	13	9	6	6	19	
1903	29	14	11	10	1	6	8	
1904	7	28	25	4	1	15	1	
1905	1	18	11	74	5	6	14	
1906	8	15	10	2	16	1	1	
1907	10	118	16	54	1	32	1	
1908	10	5	16	54	5	32	129	
1909	13	31	60	9	1	9	14	
1910	13	31	60	9	1	9	14	
1911	2	14	5	36	12	1	21	
1912	7	8	25	8	6	25	6	
1913	7	29	60	9	8	6	3	
1914	7	21	25	4	12	15	20	
1915	2	141	13	2	29	91	19	
1916	7	27	7	4	2	10	1	
1917	1	14	11	10	1	2	8	
1918	2	59	13	2	29	91	19	
1919	1	134	8	9	9	6	58	
1920	5	14	6	89	64	6	3	
1921	7	29	60	4	8	7	12	
1922	8	31	81	4	15	17	12	
1923	1	8	5	4	5	90	1	
1924	7	28	25	4	2	48	1	
1925	1	71	5	19	15	6	20	
1926	8	14	10	2	16	10	26	
1927	5	4	6	1	8	6	3	
1928	11	14	29	4	21	30	1	
1929	7	8	14	4	12	1	1	
1930	15	14	28	1	1	17	14	
1931	8	134	8	9	9	6	58	
1932	15	131	16	19	15	6	20	
1933	1	14	14	40	12	1	1	
1934	7	14	13	8	1	77	6	
1935	15	140	5	9	63	27	1	
1936	13	8	8	13	10	17	4	
1937	2	6	5	90	61	17	130	
1938	10	29	20	8	10	6	1	
1939	2	89	13	2	1	6	19	
1940	10	18	30	17	5	13	10	
1941	1	18	5	4	1	1	4	
1942	2	18	5	29	12	16	3	
1943	7	21	2	1	5	10	124	
1944	2	14	5	29	12	9	3	
1945	2	14	5	2	65	2	19	
1946	1	18	5	4	1	83	1	
1947	1	14	8	4	1	1	4	
1948	2	6	13	1	1	6	28	
1949	1	6	8	4	1	16	4	
1950	2	14	13	1	1	6	28	
1951	2	14	13	1	1	6	28	
1952	2	14	13	9	1	82	28	
1953	2	127	13	14	8	17	79	
1954	2	128	13	14	1	6	127	
1955	5	19	13	11	4	15	125	
1956	5	28	79	1	2	6	1	
1957	7	21	2	1	5	6	1	
1958	7	21	2	88	5	6	1	
1959	7	72	5	1	8	14	11	
1960	7	14	5	86	8	14	11	
1961	7	14	8	8	6	10	6	
1962	7	1	11	85	1	85	8	
1963	7	1	11	85	1	6	8	
1964	8	1	10	1	5	1	3	
1965	8	1	10	2	16	10	26	
1966	10	14	5	87	4	10	126	
1967	10	8	13	2	8	17	20	
1968	18	6	12	91	1	6	31	
1969	25	126	62	1	5	6	1	
1970	43	14	19	9	17	6	22	
1971	7	28	11	10	1	6	8	
1972	7	14	11	10	18	17	8	
1973	8	71	10	4	1	2	1	
1974	29	29	33	19	1	36	22	
1975	7	124	13	8	5	6	128	
1976	7	14	5	8	5	10	6	
1977	7	14	13	8	6	10	6	
1978	5	142	6	1	2	6	3	
1979	7	14	25	4	4	15	20	
1980	2	14	5	36	15	17	21	
1981	2	1	8	74	4	92	1	
1982	7	28	11	10	5	6	8	
1983	7	21	2	1	18	10	1	
1984	1	69	8	9	1	6	4	
1985	41	21	8	13	5	10	1	
1986	1	1	8	2	1	6	1	
1987	5	7	5	36	7	8	5	
1988	5	53	35	29	1	45	39	
1989	8	5	13	14	4	17	4	
1990	1	8	5	1	12	17	3	
1991	1	143	5	4	5	5	3	
1992	7	1	11	10	1	6	8	
1993	7	1	11	10	1	6	8	
1994	7	1	11	10	1	6	8	
1995	7	1	11	10	1	6	8	
1996	10	2	41	47	16	6	14	
1997	10	2	41	47	16	6	14	
1998	10	2	41	47	16	6	14	
1999	10	2	41	47	16	6	14	
2000	10	2	41	47	63	6	14	
2001	10	2	41	47	63	6	14	
2002	10	2	41	47	63	6	14	
2003	10	2	41	47	63	6	14	
2004	18	14	12	4	44	14	77	
2005	7	14	6	1	43	10	1	
2006	7	14	11	41	1	6	8	
2007	12	8	12	8	4	9	14	
2008	5	27	7	4	2	10	28	
2009	4	14	13	2	1	6	19	
2010	1	14	32	97	5	6	88	
2011	2	28	25	4	4	15	20	
2012	7	14	13	12	6	10	6	
2013	7	14	5	1	5	14	11	
2014	1	8	5	46	5	5	3	
2015	1	6	8	4	47	1	4	
2016	7	8	5	4	5	13	2	
2017	2	14	5	2	7	2	19	
2018	2	6	5	4	1	15	8	
2019	2	14	5	29	12	16	4	
2020	26	19	1	15	14	9	16	
2021	7	14	5	1	5	15	12	
2022	8	6	32	4	1	6	116	
2023	16	33	12	9	1	6	33	
2024	5	14	6	1	1	6	6	
2025	8	1	11	10	1	6	58	
2026	7	27	7	1	2	10	1	
2027	7	1	11	10	29	6	8	
2028	7	1	10	2	16	1	26	
2029	8	71	5	2	27	2	136	
2030	7	144	15	2	10	6	1	
2031	5	27	7	98	2	10	1	
2032	2	11	5	4	66	10	6	
2033	10	145	11	34	16	15	1	
2034	7	84	1	4	12	1	1	
2035	7	20	13	8	6	10	6	
2036	10	29	20	14	1	15	1	
2037	1	5	8	9	1	6	4	
2038	10	21	2	25	1	10	1	
2039	12	20	5	13	5	16	1	
2040	7	14	13	7	6	10	8	
2041	1	8	13	4	5	5	6	
2042	10	28	11	34	16	15	3	
2043	34	14	11	10	1	6	1	
2044	1	18	4	1	1	18	4	
2045	1	14	8	9	1	6	8	
2046	1	43	5	4	5	5	1	
2047	12	20	8	13	5	6	111	
2048	2	146	5	29	16	42	3	
2049	1	14	5	37	12	10	7	
2050	2	14	12	94	1	6	6	
2051	20	14	16	1	1	15	14	
2052	1	43	14	4	5	5	1	
2053	7	22	15	2	10	6	7	
2054	8	8	5	4	5	8	1	
2055	10	21	2	1	1	10	1	
2056	7	14	13	8	6	10	1	
2057	15	31	13	8	18	15	1	
2058	18	8	2	22	18	9	23	
2059	10	8	8	47	1	6	14	
2060	1	18	60	9	1	17	105	
2061	5	4	5	7	10	8	5	
2062	7	1	41	2	6	10	26	
2063	15	17	13	4	16	6	1	
2064	6	148	5	2	5	17	20	
2065	7	5	5	1	8	14	28	
2066	1	6	8	2	2	6	4	
2067	1	6	17	6	2	6	20	
2068	7	1	10	2	16	6	26	
2069	7	70	9	15	11	93	137	
2070	7	14	11	10	1	6	76	
2071	8	104	37	9	29	2	12	
2072	7	1	11	41	1	6	8	
2073	2	18	6	29	18	42	3	
2074	10	18	12	4	12	9	28	
2075	12	14	19	2	17	6	44	
2076	4	1	11	2	4	4	1	
2077	7	18	44	8	6	25	6	
2078	18	8	13	8	47	3	6	
2079	2	147	6	4	29	91	19	
2080	29	31	33	19	1	36	22	
2081	29	31	33	19	1	36	22	
2082	29	31	33	19	1	36	22	
2083	29	31	33	19	1	37	22	
2084	29	31	33	19	1	36	44	
2085	29	31	33	99	1	36	22	
2086	15	26	16	96	5	6	1	
2087	10	9	18	4	1	7	19	
2088	10	9	18	4	1	7	19	
2089	10	9	18	4	1	7	19	
2090	10	9	18	4	1	7	19	
2091	12	20	5	13	5	17	4	
2092	12	20	5	13	5	17	4	
2093	12	20	5	13	5	17	4	
2094	12	20	5	13	5	17	4	
2095	12	20	5	13	5	17	4	
2096	12	20	5	13	5	17	4	
2097	12	20	5	13	5	17	4	
2098	12	20	8	1	5	17	4	
2099	12	20	8	1	5	17	4	
2100	12	20	8	1	5	17	4	
2101	10	5	31	4	34	6	4	
2102	10	9	5	4	1	7	19	
2103	13	8	8	13	5	17	4	
2104	13	8	8	13	5	17	4	
2105	13	8	8	13	5	17	4	
2106	13	8	8	13	5	17	4	
2107	13	8	8	13	5	17	4	
2108	13	28	8	13	5	17	4	
2109	12	20	8	13	5	16	4	
2110	12	20	8	13	5	16	4	
2111	12	20	8	13	5	16	4	
2112	12	20	8	13	5	16	4	
2113	12	20	8	13	5	16	4	
2114	12	20	8	13	5	16	4	
2115	12	20	8	13	5	16	4	
2116	12	20	8	13	5	16	4	
2117	10	94	9	4	1	6	4	
2118	10	31	18	4	1	7	19	
2119	10	31	18	4	1	7	19	
2120	10	1	18	4	1	7	19	
2121	10	9	18	4	1	3	19	
2122	10	94	31	4	1	6	4	
2123	10	94	31	4	1	6	4	
2124	10	94	31	4	1	6	4	
2125	10	94	31	4	1	62	4	
2126	12	20	64	13	5	16	4	
2127	7	22	15	2	29	6	1	
2128	7	46	5	4	18	6	20	
2129	1	15	5	27	20	6	14	
2130	7	1	8	2	4	6	1	
2131	7	315	11	10	1	4	8	
2132	1	17	1	4	4	18	58	
2133	4	15	4	2	8	4	23	
2134	10	8	13	2	16	17	16	
2135	2	14	13	2	1	10	28	
2136	2	14	13	9	9	6	19	
2137	1	6	8	9	21	6	4	
2138	15	14	29	9	16	30	1	
2139	8	1	13	4	12	6	12	
2140	8	71	5	2	27	9	11	
2141	8	151	13	2	4	9	4	
2142	1	20	13	9	12	94	28	
2143	1	11	9	101	1	10	140	
2144	5	149	8	8	1	9	1	
2145	7	8	13	4	4	25	6	
2146	6	152	11	1	67	15	72	
2147	2	26	16	19	68	6	20	
2148	1	8	5	4	5	9	1	
2149	1	11	32	14	8	15	12	
2150	2	14	5	1	11	6	1	
2151	2	27	5	4	10	10	1	
2152	2	1	8	2	6	6	1	
2153	7	21	2	4	19	14	10	
2154	7	14	5	1	8	16	11	
2155	7	14	5	2	4	14	11	
2156	7	14	11	10	1	6	53	
2157	7	14	14	1	8	14	11	
2158	10	21	2	1	13	10	1	
2159	10	18	8	17	5	13	10	
2160	12	14	8	13	5	16	4	
2161	12	20	60	13	5	16	4	
2162	15	5	8	8	18	15	1	
2163	7	14	5	8	5	10	6	
2164	7	14	5	8	5	10	6	
2165	7	14	5	8	5	10	6	
2166	7	14	5	8	5	10	6	
2167	7	27	5	8	8	6	6	
2168	7	14	13	8	6	6	6	
2169	7	14	13	8	6	10	6	
2170	7	14	13	8	6	10	6	
2171	7	14	13	8	6	10	6	
2172	10	14	13	2	1	6	19	
2173	7	14	13	42	6	10	6	
2174	20	14	28	1	1	15	14	
2175	20	14	28	1	1	15	14	
2176	7	8	13	8	6	6	6	
2177	7	8	13	8	6	6	6	
2178	7	8	13	8	6	6	6	
2179	7	28	25	4	4	15	20	
2180	7	28	25	4	4	15	20	
2181	7	28	25	4	4	15	20	
2182	2	14	13	9	1	6	19	
2183	2	14	13	9	1	6	19	
2184	2	14	13	9	1	6	19	
2185	2	14	13	9	1	6	19	
2186	2	14	13	9	1	6	19	
2187	2	14	13	9	1	6	19	
2188	7	46	5	29	4	6	20	
2189	5	4	5	398	7	8	5	
2190	7	1	11	10	1	393	8	
2191	7	17	9	15	11	178	19	
2192	7	6	5	111	10	12	1	
2193	7	6	17	4	16	6	14	
2194	12	9	19	2	17	6	22	
2195	7	18	9	15	11	178	19	
2196	2	14	13	2	1	6	19	
2197	7	14	8	1	1	15	14	
2198	6	6	62	5	30	88	8	
2199	7	6	13	8	6	6	6	
2200	7	28	9	4	33	15	20	
2201	7	14	13	8	6	6	131	
2202	7	28	25	4	1	15	3	
2203	1	133	5	9	18	6	28	
2204	7	132	13	6	1	6	28	
2205	10	17	13	40	6	10	1	
2206	7	1	2	1	5	6	4	
2207	7	28	25	27	1	15	3	
2208	7	28	25	27	1	15	3	
2209	7	14	25	8	6	10	6	
2210	7	31	25	4	4	13	20	
2211	20	14	86	1	1	15	14	
2212	7	14	32	6	1	6	141	
2213	6	6	62	5	30	88	8	
2214	6	6	62	5	30	88	8	
2215	20	14	13	1	1	15	14	
2216	2	14	13	102	1	6	19	
2217	60	28	82	1	4	42	122	
2218	60	28	82	4	4	42	122	
2219	2	14	5	4	12	7	21	
2220	2	14	5	4	1	7	21	
2221	2	9	5	9	1	7	21	
2222	2	9	18	4	1	7	19	
2223	7	70	5	15	11	83	58	
2224	7	70	9	15	11	83	58	
2225	7	70	9	15	11	83	25	
2226	7	8	13	8	6	6	8	
2227	8	31	8	47	18	46	122	
2228	10	31	5	4	1	7	19	
2229	10	9	5	4	1	7	21	
2230	10	9	5	4	17	7	21	
2231	10	9	8	4	1	7	19	
2232	10	9	16	4	1	6	21	
2233	10	31	18	4	1	7	19	
2234	10	31	18	4	1	13	19	
2235	10	31	18	4	1	7	21	
2236	12	9	5	4	10	42	49	
2237	12	14	5	89	8	13	112	
2238	13	9	8	4	1	7	19	
2239	2	14	19	2	17	6	139	
2240	1	1	2	1	1	17	22	
2241	32	14	28	1	18	15	52	
2242	7	70	9	4	60	83	28	
2243	1	6	87	9	2	6	48	
2244	1	17	1	4	1	18	4	
2245	1	153	8	9	1	95	4	
2246	6	14	11	1	67	15	72	
2247	18	8	5	4	1	6	4	
2248	8	154	13	14	4	17	12	
2249	2	14	12	94	1	6	28	
2250	2	14	12	94	1	6	28	
2251	2	1	1	53	11	10	1	
2252	7	22	15	2	10	15	1	
2253	15	31	8	1	18	15	1	
2254	12	20	8	13	5	16	113	
2255	7	6	6	19	1	6	138	
2256	7	8	5	4	12	6	20	
2257	18	8	13	8	6	3	6	
2258	2	62	2	100	5	15	3	
2259	7	14	85	4	10	1	1	
2260	1	150	2	29	1	46	14	
2261	7	9	5	54	5	6	1	
2262	7	14	14	2	12	1	1	
2263	5	4	14	1	15	6	3	
2264	1	14	5	29	10	6	79	
2265	7	1	11	10	1	6	143	
2266	8	1	10	2	16	1	1	
2267	12	6	10	2	5	9	1	
2268	5	27	7	4	10	10	4	
2269	7	21	2	1	5	49	1	
2270	1	5	9	9	1	17	105	
2271	7	45	13	9	1	10	1	
2272	7	14	8	8	18	10	6	
2273	16	29	12	14	1	6	1	
2274	7	1	5	10	18	6	58	
2275	7	14	5	4	1	6	1	
2276	2	18	16	29	18	42	3	
2277	7	79	5	4	5	42	92	
2278	7	14	6	9	2	6	1	
2279	2	18	89	9	1	6	1	
2280	7	14	32	8	12	97	6	
2281	7	11	5	4	1	10	144	
2282	7	8	43	8	6	25	6	
2283	61	14	60	67	5	6	12	
2284	62	31	13	1	18	15	1	
2285	1	20	20	9	12	94	1	
2286	13	19	84	15	14	10	16	
2287	2	128	13	9	1	6	127	
2288	1	20	5	9	12	94	28	
2289	7	22	15	2	10	16	1	
2290	10	145	11	4	16	15	1	
2291	10	145	11	4	16	15	1	
2292	1	31	8	1	10	15	1	
2293	44	14	5	1	8	14	11	
2294	2	27	7	4	10	6	1	
2295	7	14	5	1	8	96	1	
2296	7	14	5	1	8	96	11	
2297	5	75	35	29	1	45	39	
2298	1	8	93	1	5	1	1	
2299	1	6	8	104	2	6	4	
2300	10	20	13	1	43	98	1	
2301	7	155	6	6	17	6	1	
2302	15	156	16	19	15	6	20	
2303	1	157	8	6	2	6	4	
2304	7	67	90	14	2	17	1	
2305	8	17	9	105	1	6	1	
2306	4	26	95	19	15	6	20	
2307	1	83	94	6	2	6	4	
2308	1	14	5	106	12	10	1	
2309	2	31	53	95	1	6	19	
2310	16	33	12	54	1	41	33	
2311	8	15	1	2	1	6	1	
2312	7	67	6	9	2	99	1	
2313	15	26	16	19	15	6	20	
2314	7	104	6	1	69	6	1	
2315	7	28	25	4	16	6	20	
2316	7	158	5	8	5	10	6	
2317	7	14	8	8	5	10	6	
2318	2	1	8	2	4	6	1	
2319	2	1	8	2	4	6	1	
2320	4	1	4	2	4	4	1	
2321	4	1	4	2	4	4	1	
2322	4	1	4	2	4	4	1	
2323	7	14	13	8	6	10	6	
2324	7	14	13	8	6	10	6	
2325	7	14	13	8	6	10	6	
2326	7	14	13	8	6	10	6	
2327	7	14	13	8	6	10	6	
2328	7	37	13	8	1	10	6	
2329	7	37	13	8	1	10	6	
2330	20	14	28	1	1	15	14	
2331	20	14	28	1	1	15	14	
2332	20	14	28	1	1	15	14	
2333	20	14	28	1	1	15	14	
2334	20	14	28	1	1	15	14	
2335	20	14	28	1	1	15	14	
2336	20	14	28	1	1	15	14	
2337	8	53	37	9	29	2	12	
2338	1	8	5	4	12	5	3	
2339	1	8	5	4	12	5	3	
2340	1	8	5	4	12	5	3	
2341	1	8	5	4	12	5	3	
2342	7	14	5	1	1	13	31	
2343	7	14	5	1	1	13	31	
2344	2	14	13	9	1	6	19	
2345	2	14	13	9	1	6	19	
2346	7	8	10	1	8	10	28	
2347	4	91	16	19	15	6	46	
2348	15	61	16	19	15	6	20	
2349	4	91	16	19	15	6	20	
2350	4	91	16	19	15	6	20	
2351	4	91	16	19	15	6	20	
2352	4	3	16	19	15	6	20	
2353	4	3	16	19	15	6	20	
2354	4	85	16	19	15	6	20	
2355	4	84	16	19	15	6	20	
2356	4	84	16	19	15	6	20	
2357	4	84	16	19	15	6	20	
2358	4	58	16	19	15	6	20	
2359	4	53	16	19	15	6	20	
2360	4	53	37	19	15	6	20	
2361	4	51	16	19	15	6	20	
2362	4	51	16	19	15	6	20	
2363	4	50	16	19	15	6	20	
2364	4	46	16	19	15	6	20	
2365	4	46	16	19	15	6	20	
2366	4	46	16	19	15	6	20	
2367	4	46	16	19	15	6	20	
2368	4	46	16	19	15	6	20	
2369	4	46	16	19	15	6	20	
2370	4	46	16	19	15	6	20	
2371	4	46	16	19	15	6	20	
2372	4	46	16	19	15	6	20	
2373	4	46	16	19	15	6	20	
2374	4	46	16	19	15	6	20	
2375	4	42	16	19	15	6	20	
2376	4	42	16	19	15	6	20	
2377	4	42	16	19	15	6	20	
2378	4	42	16	19	15	6	20	
2379	20	1	16	19	15	6	20	
2380	4	26	16	19	15	55	20	
2381	4	26	16	19	15	55	20	
2382	4	26	16	19	15	55	20	
